,text,favourite_count,retweet_count,created_at
0,RT @crisroseroa: Lean a @ilusa_Gomez quien les explica en este artículo cómo estamos en la decisión de nuestra demanda. Seguimos firmes por…,0,2,2021-11-22 17:46:45+00:00
1,@CConstitucional El factor de interpretación de las causales del aborto legal es problemático. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:45:31+00:00
2,"#CausaJustaPorElAborto Colombia🇨🇴:

La periodista @ilusa_Gomez explica en @VolcanicasRev el abecé de lo que sucedió y lo que viene con la decisión de la @CConstitucional sobre la demanda para despenalizar el aborto en Colombia.

La lucha continúa... 
https://t.co/9ZsG1ayeFD",1,0,2021-11-22 17:44:25+00:00
3,"@CConstitucional La ausencia de inspección, vigilancia y control en materia de IVE es flagrante. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto",0,0,2021-11-22 17:44:14+00:00
4,"RT @causajustaco: ""Una nueva batalla por los derechos humanos"", lectura recomendada de @C_CaballeroR en @Portafolioco  https://t.co/d9HxxNU…",0,2,2021-11-22 17:42:30+00:00
5,@CConstitucional La mala implementación del aborto legal en Colombia ha profundizado las desigualdades. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:35:42+00:00
6,@CConstitucional Las barreras a la IVE se intensifican en las zonas de conflicto armado. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:34:23+00:00
7,RT @crisroseroa: Lean a @ilusa_Gomez quien les explica en este artículo cómo estamos en la decisión de nuestra demanda. Seguimos firmes por…,0,2,2021-11-22 17:33:55+00:00
8,"Lean a @ilusa_Gomez quien les explica en este artículo cómo estamos en la decisión de nuestra demanda. Seguimos firmes porque lanlucha continúa.

#CausaJustaPorElAborto https://t.co/nR5jq1AXqM",4,2,2021-11-22 17:33:22+00:00
9,RT @womenslink: No tenemos dudas. Estamos más fuertes que nunca. La @CConstitucional de Colombia tiene todos los argumentos para hacerlo. #…,0,2,2021-11-22 17:32:31+00:00
10,@CConstitucional Cuando el aborto está penalizado se producen complicaciones evitables que generan costos a las personas y al sistema de salud. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:26:35+00:00
11,@CConstitucional El sistema de salud colombiano aha incorporado en sus beneficios todas las prestaciones que se requieren para la garantía del aborto seguro. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:25:38+00:00
12,@CConstitucional La laicidad del Estado es una condición para evitar interferencias sobre la libertad de las personas y en especial de las mujeres. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:24:19+00:00
13,"RT @ItsLondi_: ""En 2018 se registró que diariamente 15 niñas entre 10 a 14 años dieron a luz y el 86% del total de las mujeres agredidas se…",0,3,2021-11-22 17:19:26+00:00
14,@CConstitucional ;Mediante comportamientos individuales los prestadores de salud impiden a las mujeres acceder a la IVE. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:15:34+00:00
15,@CConstitucional No toda declaración de objeción de conciencia es legal. Tenemos más de #90Argumentos para que la #CorteVoteSí a la #CausaJustaPorElAborto,0,0,2021-11-22 17:14:14+00:00
16,"RT @ItsLondi_: ""En 2018 se registró que diariamente 15 niñas entre 10 a 14 años dieron a luz y el 86% del total de las mujeres agredidas se…",0,3,2021-11-22 17:08:07+00:00
